id_orden,fecha_ingreso,fecha_entrega,cliente,servicio,vehiculo,estado,horas_trabajo,precio_hora,monto_total,mecanico_1,horas_1,mecanico_2,horas_2,mecanico_3,horas_3
OT-001,2024-01-04,2024-01-05,Olivia Molina,Lavado premium,Etios,Cobrado,2.0,18,39.14,Lara Molina,2.0,,,,
OT-002,2024-01-02,,Luciana Quiroga,Cambio de aceite,Amarok,Cancelado,0.5,35,35.46,,,,,,
OT-003,2024-01-06,2024-01-07,Catalina Gomez,Lavado premium,Etios,Cobrado,1.5,18,29.95,Lara Molina,1.0,Alma Valentina Gonzalez,1.0,,
OT-004,2024-01-11,2024-01-11,Tomas Fernandez,Lavado premium,Tracker,Cobrado,2.5,18,52.74,Lara Molina,2.5,,,,
OT-005,2024-01-13,2024-01-15,Lola Rodriguez,Detailing completo,Hilux,Cobrado,4.5,30,150.02,Martina Diaz,2.5,Alma Valentina Gonzalez,3.0,Delfina Gimenez,2.5
OT-006,2024-01-05,2024-01-06,Milena Rios,Lavado premium,Taos,Cobrado,2.0,18,40.01,Lara Molina,2.0,,,,
OT-007,2024-01-05,2024-01-07,Santiago Acosta,Diagnóstico electrónico,208,Facturado esperando cobro,2.0,50,"$ 96,99",Martina Diaz,2.0,,,,
OT-008,2024-01-02,2024-01-03,Maximiliano Romero,Lavado premium,Amarok,Cobrado,2.0,18,41.71,Alma Valentina Gonzalez,2.0,,,,
OT-009,2024-01-24,,Francisco Garcia,Pulido y encerado,Corolla Cross,Cancelado,4.0,28,120.18,,,,,,
OT-010,2024-02-13,2024-02-13,Micaela Ojeda,Lavado premium,Territory,Cobrado,1.5,18,31.77,Delfina Nuñez,1.5,,,,
OT-011,2024-02-20,2024-02-21,Alma Fernandez,Cambio de aceite,Hilux,Cobrado,1.5,35,99.21,Delfina Nuñez,1.5,,,,
OT-012,2024-02-29,,  LARA CABRERA,Lavado premium,Territory,Presupuesto enviado,2.0,18,42.73,,,,,,
OT-013,2024-02-05,,Milena Rios,Cambio de aceite,Tracker,Cancelado,1.0,35,69.56,,,,,,
OT-014,2024-02-05,2024-02-09,Thiago Benjamin Martinez,Mecánica general,Kicks,Cobrado,9.5,40,515.31,Martina Diaz,9.5,,,,
OT-015,2024-02-08,2024-02-09,Maria Victoria Mendoza,Pulido y encerado,Tracker,Cobrado,5.0,28,162.32,Delfina Gimenez,5.0,,,,
OT-016,2024-02-05,,Alma Fernandez,Lavado premium,Sandero,Presupuesto enviado,1.5,18,30.79,,,,,,
OT-017,2024-02-23,2024-02-24,Maximiliano Romero,Detailing completo,Duster,Cobrado,7.5,30,276.43,Lara Molina,6.0,Delfina Nuñez,4.5,,
OT-018,2024-03-02,,Luciana Quiroga,Cambio de aceite,Tracker,Cancelado,1.0,35,69.1,,,,,,
OT-019,2024-03-22,2024-03-27,Simon Gutierrez,Mecánica general,Tracker,Cobrado,5.5,40,318.29,Delfina Nuñez,4.5,Martina Diaz,3.5,,
OT-020,2024-03-13,,Santino Benitez,Detailing completo,Fiesta,Cancelado,8.0,30,297.3,,,,,,
OT-021,2024-03-08,2024-03-18,Uma  Medina,Chapa y pintura,Cronos,Cobrado,18.0,45,1112.71,Martina Diaz,12.5,Lara Molina,11.0,,
OT-022,2024-04-09,2024-04-10,Benjamin Soria,Alineación y balanceo,Yaris,Cobrado,1.0,38,39.65,Alma Valentina Gonzalez,1.0,,,,
